twitter,username,referrals,balance,wallet
@mubeenzahra8,@Kabeer1214,0,10000,0x313A325b66b599CE16b562b4889ED47d3EcBA086
@frikilollo,@Jonathanuray,11,15500,0x59A45B52e5a8CF245ec77DB5d4BCbDF4D137Ad3f
@Kadiel01600919,@Luriel888,3,11500,0x39D68ccE059C93241D96b4274f4A4B7Dd63f7bA2
@airdrop_checker,@airdrop_checker,85,52500,0x19C2c8382046E8BD8d598a41D8b90DA73D774903
@anitaaaamey,@anitaaaamey,0,10000,0x9716a755B8342F2f425b1f7884b8D1B5c387dDd8
@MinhTm33241229,@TamnguyenQB,1,10500,0x303c92d55488536112690bE02f26Da6D979337cc
@CaroraAjss,@AnderJFire19,0,10000,0x7A79A8A499D42555Ee80F7445178E5F89865C46C
@Akhadie_J,@Akhadie_J,0,10000,0x2b1D5ABF3bcE3237e89807749ec2F9d406F4A966
@xucolin2,@colinnxL,3120,"1,570,000",0x82f3E8e1f696abd02181FFC898A869E5f9f6a727
@nftvinoth,@nftvinoth,0,10000,0xE242371BB605674d02d79c681cbDE299eE03dd72
@RavikumarBala3,@RavikumarBalasubramanian,1,10500,0xD26CD2dA91D6E30c20Bf4C6E116756369B82E1fB
@Nithyasaran23,@NithyaSaran,0,10000,0x8071DD5f253539D579F48478Aa2aBfBB875F777d
@EzhilThileepan,@Pazhagowthaman,17,18500,0x17395221c9fDCAfCC666628ed2c745e140e5CCe4
@goldenlam94,@goldenlam94,0,10000,0x31fA8B1ef83eFdeD2C9eb342f9355dc516ABA4AE
@Dinesh12517888,@,0,10000,0x1c070C8387044DA43c7FC569736CD78a504d6F62
@K0_MenZ,@bro_wap,0,10000,0x4469837dea43A5e553630A3eeA6A2fFe9Dc73bDD
@Nipendr96862555,@Nipendra1,3,11500,0xf5c2544eC923FB9fcc4e671aF82Cab209597ee8f
@kannan21904629,@KannanAavin,0,10000,0xd136BCC63b8a5e4A1671C4525e68f2cAa68edd58
@EkeneEleh,@Nnamuudi,1,10500,0x035fe129Fa21008fBE6b7F3F0398b7617A695712
@rkarthikeyan029,@rkarthikeyan029,1,10500,0xa1a6980bd2246aF072184eF3744f349221cBFaA9
@MarcelisYenis,@marielisa27,0,10000,0x1eD2721b2dF95CA72a5A2bce821f0AD6952489ca
@MrTinku123,@Tushar1997,0,10000,0x2C9e4F7aaA377819e8b716F5bDa7D8Eb3EFaF0df
@Kai93554130,@AlexTIM09,4,12000,0x3964B8C2Ce10c40fb476B5b323329Ef5C2EC52D0
@Ajaycha80408430,@Ajchauhan00,0,10000,0x34E57F40684e8a2CF2Cd8Cc5128Ead05f7053Bf5
@abhishek_meee,@wizzard_777,0,10000,0x2F08af028177310586D9fc5b668Fa8c430a54D7e
@ArtiJha24268992,@anjha12,0,8000,0x4E36977d27E1d0dd67fd51bf77891EBA2fB5cf91
@Rocking898990,@Ninjahattori66,26,23000,0xEFD67df62714256452D39245681c279b9d24523e
@ParaskumJain,@Paras880,0,10000,0x368A76bc116Db77F081A6c0F08B15e65d3dE5A58
@ShaikhA21430503,@XeroTOP7,1,10500,0x98D1955c3431faCFeb3F8C3ffaF0a7Ccc88cb84C
@Aliandosyarif09,@Bang_Roy89,0,10000,0xeF3b5Ac56eE06a0D33c5FF8ce8036661FE8cf92B
@iwanonet,@Iwanonet,0,10000,0x88C0b4113bA7e9fC8F0D6Fb1Fdb92479C79958Ee
@honchoway,@honchoway,10,15000,0x15639B624b43b888415B6A84FEDc439e882D1943
@SagorHrihaan,@Hrihaan7474,0,10000,0x25273EcED3dB1Bb5578dce361183a3fe47bD8D0E
@innespandriani,@ordo_lam,0,10000,0xa613EaA224F170C56054C8d6350Eab71764a6B68
@GyanRAziz1,@ScamOrNut,4,12000,0x96Fbc11261B1e49932ac0c0116FA89A19Bd17984
@MShoaibur,@Shoaib083,4,12000,0x637196850F8727adc58e1d08cd5E836d4cAea05e
@Samuelceee,@Dcee7,0,10000,0x2d7369B31d15777cf39F891DbB0Ca2Af09a31389
@IlayaJericca,@astraeaaeartsa,0,10000,0xD18566eDaF1035FE20223fBef4ADB315453C0640
@EmreTANI7,@BaytarEmre,0,10000,0x631b1B1a7b6EdC686c0dA8856EbdC7cc851353E8
@Sconzy95,@MikFX,1,10500,0xD2E35b18961e4a2678416a662eca9CEb2329d53B
@Nafiz151,@ahossein03,0,10000,0x4a4Ba70800F8EAbd56470152c4CED081B053087F
@Laci09032190,@lecheros1,0,10000,0xD90e74E8B5fcd96f97e81a401c3401260E4CeeD5
@Atiens_Angel,@B4nd1tz,0,8000,0xB71C883eF954A4f6da20536473195150655F6158
@prasanth_kr_06,@PK90034,0,10000,0xD5351cb4BfEc2126De6B427E163E5cB05B4b4c4F
@IAlteredCarbon1,@l_Vic_l,0,10000,0x537640504803c86A0B9260743cedeCfB1881CB76
@digitalcentre1,@machslab,0,10000,0x58724f3F4760B8dc118D3EFBeFD8598aC55472CA
@giantafricanban,@myturnaround,5,12500,0xADbCf9BAf1B12BA3F6B165c6195d1c7bF09e8329
@Bimoni5,@Usmankhan102,0,10000,0xf2A5990CCb71185428f1D3870FB11CD19C697E5c
@yayan_280297,@yayan1997,0,10000,0x98dc2bbd8Cc694254562a6Af8eaf28fE5B2deEaF
@OuakrimAyoub1,@ayoubkamil,0,10000,0x55B2F83556AE59c9e3090be30FC7A3CA96c657a0
@HackerKrishna_,@Hackerkrishna,0,10000,0x0b7bAce813D7EA316D8a2b1e0F5d73c72A5cfb0D
@gat_rocking,@Surtur45,0,10000,0xef48bBda18199443705a849A3066a255907f68e2
@reasmundo,@rea_mundo,0,10000,0x6882fe6c9552A97d7332d6E54342DA5E3E99cD83
@ChristoRisakota,@ChristoRisakotta,0,10000,0xfCa930678e35a7f7048c16D8acCA641c3870f22c
@LaVraiVie17,@Hcoree,0,10000,0xc7a673A14cffE224082Eca98f2362D7A571d813B
@thaohan2010,@odin8582,7,13500,0x25ACefe018611B3648A8B960885622D6f6430BFF
@hleors,@ThomasZorrilla,0,10000,0x8c96f913a6133B8EAfe4597Af58B182fcAeF3469
@deyemigram,@Deyemigram,0,10000,0xF877589d01dd45Ca52272d214d505Ea3A5080072
@Kokopeti2,@cozturna,24,22000,0x370b28B66FEa4A4C929754aCf36EF855366c450E
@Aravint227673,@Aravinth_2503,0,10000,0x939AB33b6BA22B793E77edC53bE50Bfd89FbCd53
@mylove02068785,@zmvvt,0,10000,0x0C6F710cb6ca6fE6a399096712Ff13F0d70a3Dad
@dinh1212,@tuanthai,1,10500,0x4105548C8fFEB2122277aA95BfF174A412905cFF
@ramaksvn,@Kingksvn,0,10000,0xD3AEE8547341d44Da7e6cb5eC4114353BB129ac2
@SudeepNbr,@SudeepNbr,2,11000,0x30756FaC877de36c2Be292F47bbaad6eb3C1646F
@yuvaraj505,@Yuvaraj505,0,10000,0xD18436FC186E6bEA04bf5b5f2D5fE561de0AB4DE
@Santhos04386387,@Vector_space,0,10000,0x221545707def6832C6433Bed3A9C3197dCa72F5A
@onabanjosamuel,@Adeyeni11,3,9500,0x26F03926b61ca08Bb0525505CDaf923386d7A92E
@bitcomplexuson1,@supplymoney,0,10000,0x08d2Cd1Ce328580F2abe6957CBA8A68bF9cb00CC
@onlinedream5,@OnlineDream3,20,20000,0x427D11335c5eC23f423663645b802FB94c3e76E3
@Green__Shoots,@,0,10000,0xFe6D566312b95582d1ba204257B2B3aDD7afA59D
@TarkKanat2,@Turkishfighter,0,10000,0x380EC004563dA999ac6F516e965C6FdEB8307Dd8
@Vivian57539663,@VivianLT,1,10500,0x37FbF3ae8C9D512ec8778fd6fBDEd9469E27b45E
@Suparli61962918,@Mballelo,0,10000,0xADcEd66719A6e01b45b6A91702f2c0f9b3e4996e
@aulia_em,@wkwk_w,0,10000,0x5b8b3695f52bb93d6a1026ab0b5e2044f3bCdae1
